sentences,labels
"The sisters <e1> Suzanne </e1> and Blanche Hoschedé posed for this series of pictures , their late father being banker Ernest Hoschedé , a patron of the arts and collector of Monet , and their mother , <e2> Alice </e2> , who became Monet ’s second wife .",mother
"The sisters <e1> Suzanne </e1> and <e2> Blanche Hoschedé </e2> posed for this series of pictures , their late father being banker Ernest Hoschedé , a patron of the arts and collector of Monet , and their mother , Alice , who became Monet ’s second wife .",sibling
"The sisters <e2> Suzanne </e2> and Blanche Hoschedé posed for this series of pictures , their late father being banker <e1> Ernest Hoschedé </e1> , a patron of the arts and collector of Monet , and their mother , Alice , who became Monet ’s second wife .",child
"The sisters Suzanne and Blanche Hoschedé posed for this series of pictures , their late father being banker <e1> Ernest Hoschedé </e1> , a patron of the arts and collector of Monet , and their mother , <e2> Alice </e2> , who became Monet ’s second wife .",spouse
"The sisters Suzanne and <e2> Blanche Hoschedé </e2> posed for this series of pictures , their late father being banker <e1> Ernest Hoschedé </e1> , a patron of the arts and collector of Monet , and their mother , Alice , who became Monet ’s second wife .",child
"The sisters <e2> Suzanne </e2> and Blanche Hoschedé posed for this series of pictures , their late father being banker Ernest Hoschedé , a patron of the arts and collector of Monet , and their mother , <e1> Alice </e1> , who became Monet ’s second wife .",child
"The sisters Suzanne and Blanche Hoschedé posed for this series of pictures , their late father being banker <e2> Ernest Hoschedé </e2> , a patron of the arts and collector of Monet , and their mother , <e1> Alice </e1> , who became Monet ’s second wife .",spouse
"The sisters Suzanne and <e2> Blanche Hoschedé </e2> posed for this series of pictures , their late father being banker Ernest Hoschedé , a patron of the arts and collector of Monet , and their mother , <e1> Alice </e1> , who became Monet ’s second wife .",child
"The sisters <e2> Suzanne </e2> and <e1> Blanche Hoschedé </e1> posed for this series of pictures , their late father being banker Ernest Hoschedé , a patron of the arts and collector of Monet , and their mother , Alice , who became Monet ’s second wife .",sibling
"The sisters Suzanne and <e1> Blanche Hoschedé </e1> posed for this series of pictures , their late father being banker <e2> Ernest Hoschedé </e2> , a patron of the arts and collector of Monet , and their mother , Alice , who became Monet ’s second wife .",father
"The sisters Suzanne and <e1> Blanche Hoschedé </e1> posed for this series of pictures , their late father being banker Ernest Hoschedé , a patron of the arts and collector of Monet , and their mother , <e2> Alice </e2> , who became Monet ’s second wife .",mother
"This series began with La Barque Rose ( private collection ) and also worthy of mention are canvases La Barque à Giverny ( <e1> Musée d'Orsay </e1> , <e2> Paris </e2> ) and En Barque ( National Museum of Western Art , Tokyo ) .",headquarters location
"<e1> Kenneth Hsien - yung Pai </e1> ( ) , born <e2> July 11 , 1937 </e2> ) is a Taiwanese writer who has been described as a "" melancholy pioneer . """,date of birth
"He was born in <e1> Guilin </e1> , <e2> Guangxi </e2> , China at the cusp of both the Second Sino - Japanese War and subsequent Chinese Civil War .",located in the administrative territorial entity
"He was born in <e1> Guilin </e1> , Guangxi , <e2> China </e2> at the cusp of both the Second Sino - Japanese War and subsequent Chinese Civil War .",country
"He was born in <e2> Guilin </e2> , <e1> Guangxi </e1> , China at the cusp of both the Second Sino - Japanese War and subsequent Chinese Civil War .",contains administrative territorial entity
"He was born in Guilin , <e1> Guangxi </e1> , <e2> China </e2> at the cusp of both the Second Sino - Japanese War and subsequent Chinese Civil War .",located in the administrative territorial entity
"He was born in Guilin , <e1> Guangxi </e1> , <e2> China </e2> at the cusp of both the Second Sino - Japanese War and subsequent Chinese Civil War .",country
"He was born in Guilin , <e2> Guangxi </e2> , <e1> China </e1> at the cusp of both the Second Sino - Japanese War and subsequent Chinese Civil War .",contains administrative territorial entity
"<e1> Pai </e1> 's father was the famous Kuomintang ( KMT ) general <e2> Bai Chongxi </e2> ( Pai Chung - hsi ) , whom he later described as a "" stern , Confucian father "" with "" some soft spots in his heart . """,father
"<e2> Pai </e2> 's father was the famous Kuomintang ( KMT ) general <e1> Bai Chongxi </e1> ( Pai Chung - hsi ) , whom he later described as a "" stern , Confucian father "" with "" some soft spots in his heart . """,child
"Pai 's father was the famous <e2> Kuomintang </e2> ( KMT ) general <e1> Bai Chongxi </e1> ( Pai Chung - hsi ) , whom he later described as a "" stern , Confucian father "" with "" some soft spots in his heart . """,member of political party
"In 1952 , Pai and his family resettled in <e2> Taiwan </e2> , where the <e1> KMT </e1> had relocated the Republic of China after defeat by the Communists in 1949 .",country
"<e1> Henry Dalziel </e1> , VC ( <e2> 18 February 1893 </e2> – 24 July 1965 ) was an Australian recipient of the Victoria Cross ( VC ) , the highest award for gallantry in the face of the enemy that can be awarded to British and Commonwealth forces .",date of birth
"Henry Dalziel , VC ( 18 February 1893 – 24 July 1965 ) was an Australian recipient of the Victoria Cross ( VC ) , the highest award for gallantry in the face of the enemy that can be awarded to <e1> British </e1> and <e2> Commonwealth </e2> forces .",member of
He was awarded the VC while serving with the <e1> Australian Imperial Force </e1> during the <e2> First World War </e2> .,conflict
In the mid-1930s he rejoined the army in a part - time capacity and during the <e2> Second World War </e2> served in a training role in <e1> Australia </e1> .,participant of
<e1> Elaine Marley – Threepwood </e1> is a fictional character in the <e2> Monkey Island </e2> series of graphic adventure video games .,present in work
"Created by Ron Gilbert for <e2> LucasArts </e2> , the character first appears in <e1> The Secret of Monkey Island </e1> and is one of the core characters in the franchise .",developer
"While the first two games in the series did not feature voice acting , Elaine was voiced by Alexandra Boyd in <e2> The Curse of Monkey Island </e2> and by Charity James in <e1> Escape from Monkey Island </e1> ; Boyd would reprise the role for later entries in the franchise .",follows
"While the first two games in the series did not feature voice acting , Elaine was voiced by Alexandra Boyd in <e1> The Curse of Monkey Island </e1> and by Charity James in <e2> Escape from Monkey Island </e2> ; Boyd would reprise the role for later entries in the franchise .",followed by
Yes for Europe is the <e1> Brussels </e1> - based European Confederation of Young Entrepreneurs founded in 1988 to represent young entrepreneurs in <e2> Europe </e2> .,continent
Yes for Europe is the <e2> Brussels </e2> - based <e1> European Confederation of Young Entrepreneurs </e1> founded in 1988 to represent young entrepreneurs in Europe .,headquarters location
"Young entrepreneurs from Austria , France , Germany , Greece , <e2> Italy </e2> , Portugal as well as from Japan and met in <e1> Capri </e1> , Italy , during the National Convention of Confindustria Giovani Imprenditori to sign the “ International Young Entrepreneurs Charter ” , the so - called “ Capri Charter ” which established the fundamental principles for the future cooperation .",country
"<e1> Fabrizio D'Aloia </e1> ( <e2> Benevento </e2> , February 17 , 1964 ) is an Italian engineer , founder of Microgame .",place of birth
"<e1> Fabrizio D'Aloia </e1> ( Benevento , <e2> February 17 , 1964 </e2> ) is an Italian engineer , founder of Microgame .",date of birth
"<e1> Fabrizio D'Aloia </e1> ( Benevento , February 17 , 1964 ) is an <e2> Italian </e2> engineer , founder of Microgame .",country of citizenship
"In <e2> 1996 </e2> , he founds <e1> Microgame </e1> .",inception
"<e1> Anatoly Fedorovich Koni </e1> ( Russian : Анато́лий Фёдорович Ко́ни , <e2> 1844 </e2> – 1927 ) was a Russian jurist , judge , politician and writer .",date of birth
"<e1> Anatoly Fedorovich Koni </e1> ( Russian : Анато́лий Фёдорович Ко́ни , 1844 – <e2> 1927 </e2> ) was a Russian jurist , judge , politician and writer .",date of death
"While he supported the liberals ' call for a constitutional order in <e2> Russia </e2> , he declined an appointment as Minister of Justice in the government of <e1> Pyotr Stolypin </e1> in 1906 .",country of citizenship
<e1> Anatoly Koni </e1> was the son of the noted dramatist <e2> Fyodor Koni </e2> .,father
<e2> Anatoly Koni </e2> was the son of the noted dramatist <e1> Fyodor Koni </e1> .,child
Koni led the investigation into the <e2> 1888 </e2> <e1> Borki train disaster </e1> and presided over the 1878 jury trial against the revolutionary and attempted assassin Vera Zasulich .,point in time
"It originally aired on <e1> Comedy Central </e1> in <e2> the United States </e2> on December 17 , 1997 .",country
"In the episode , the <e2> Jewish </e2> character <e1> Kyle </e1> feels excluded from the town 's celebrations during Christmas , and is comforted by Mr. Hankey , a talking and singing lump of feces wearing a red hat .",religion
"Heavily influenced by the Peanuts Christmas special <e1> A Charlie Brown Christmas </e1> from <e2> 1965 </e2> , "" Mr. Hankey , the Christmas Poo "" was the first Christmas - themed South Park episode , the first musical episode , and the only episode in season one ( and therefore the first time in the series ) in which Kenny does not die .",start time
"Heavily influenced by the Peanuts Christmas special <e1> A Charlie Brown Christmas </e1> from <e2> 1965 </e2> , "" Mr. Hankey , the Christmas Poo "" was the first Christmas - themed South Park episode , the first musical episode , and the only episode in season one ( and therefore the first time in the series ) in which Kenny does not die .",publication date
"<e2> John Kricfalusi </e2> , the creator of <e1> The Ren & Stimpy Show </e1> , accused Parker and Stone of stealing the idea for Mr. Hankey from him , which the duo vehemently denied .",creator
<e1> Subin Bhattarai </e1> ( born <e2> 5 November 1982 </e2> ) is a Nepali author and Columnist .,date of birth
<e1> Subin Bhattarai </e1> ( born 5 November 1982 ) is a <e2> Nepali </e2> author and Columnist .,country of citizenship
A year later a sequel titled <e1> Saaya </e1> was released in September 2014 . which concerns how the misunderstanding in <e2> Summer Love </e2> cleared and how they convince their family .,follows
A year later a sequel titled <e1> Saaya </e1> was released in <e2> September 2014 </e2> . which concerns how the misunderstanding in Summer Love cleared and how they convince their family .,publication date
<e1> John Galt </e1> ( ) is a character in <e2> Ayn Rand </e2> 's novel Atlas Shrugged ( 1957 ) .,creator
<e1> John Galt </e1> ( ) is a character in Ayn Rand 's novel <e2> Atlas Shrugged </e2> ( 1957 ) .,present in work
John Galt ( ) is a character in <e1> Ayn Rand </e1> 's novel <e2> Atlas Shrugged </e2> ( 1957 ) .,notable work
John Galt ( ) is a character in Ayn Rand 's novel <e1> Atlas Shrugged </e1> ( <e2> 1957 </e2> ) .,publication date
John Galt ( ) is a character in <e2> Ayn Rand </e2> 's novel <e1> Atlas Shrugged </e1> ( 1957 ) .,author
"<e2> Islam </e2> is the largest religion in Sudan , and <e1> Muslims </e1> have dominated national government institutions since independence in 1956 .",religion
"The vast majority of <e1> Muslims </e1> in Sudan adhere to <e2> Sunni </e2> Islam of Maliki school of jurisprudence , deeply influenced with Sufism , making Sudan one of the most tolerant Muslim majority countries in the world .",religion
"Klahhane Ridge is located just to the south of Port Angeles , <e1> Washington </e1> , <e2> USA </e2> near Hurricane Ridge in the Olympic National Park .",located in the administrative territorial entity
"Klahhane Ridge is located just to the south of Port Angeles , <e1> Washington </e1> , <e2> USA </e2> near Hurricane Ridge in the Olympic National Park .",country
"Klahhane Ridge is located just to the south of Port Angeles , <e1> Washington </e1> , <e2> USA </e2> near Hurricane Ridge in the Olympic National Park .",capital of
"Klahhane Ridge is located just to the south of Port Angeles , <e2> Washington </e2> , <e1> USA </e1> near Hurricane Ridge in the Olympic National Park .",capital
"Klahhane Ridge is located just to the south of Port Angeles , <e2> Washington </e2> , <e1> USA </e1> near Hurricane Ridge in the Olympic National Park .",contains administrative territorial entity
"Klahhane Ridge is located just to the south of Port Angeles , <e2> Washington </e2> , USA near Hurricane Ridge in the <e1> Olympic National Park </e1> .",located in the administrative territorial entity
"Klahhane Ridge is located just to the south of Port Angeles , Washington , <e2> USA </e2> near Hurricane Ridge in the <e1> Olympic National Park </e1> .",country
"<e1> Klahhane Ridge </e1> is located just to the south of Port Angeles , <e2> Washington </e2> , USA near Hurricane Ridge in the Olympic National Park .",located in the administrative territorial entity
"<e1> Klahhane Ridge </e1> is located just to the south of Port Angeles , Washington , <e2> USA </e2> near Hurricane Ridge in the Olympic National Park .",country
"Klahhane Ridge is located just to the south of <e1> Port Angeles </e1> , Washington , <e2> USA </e2> near Hurricane Ridge in the Olympic National Park .",country
"Klahhane Ridge is located just to the south of Port Angeles , <e2> Washington </e2> , USA near <e1> Hurricane Ridge </e1> in the Olympic National Park .",located in the administrative territorial entity
"Klahhane Ridge is located just to the south of Port Angeles , Washington , <e2> USA </e2> near <e1> Hurricane Ridge </e1> in the Olympic National Park .",country
"<e1> Yousef Mangoush </e1> , born in Benghazi , Cyrenaica , Libya , in <e2> 1950 </e2> , is a Major General .",date of birth
"<e1> Yousef Mangoush </e1> , born in <e2> Benghazi </e2> , Cyrenaica , Libya , in 1950 , is a Major General .",place of birth
"<e1> Yousef Mangoush </e1> , born in Benghazi , <e2> Cyrenaica </e2> , Libya , in 1950 , is a Major General .",place of birth
"Yousef Mangoush , born in <e2> Benghazi </e2> , Cyrenaica , <e1> Libya </e1> , in 1950 , is a Major General .",contains administrative territorial entity
"Yousef Mangoush , born in Benghazi , <e2> Cyrenaica </e2> , <e1> Libya </e1> , in 1950 , is a Major General .",contains administrative territorial entity
"Yousef Mangoush , born in <e1> Benghazi </e1> , Cyrenaica , <e2> Libya </e2> , in 1950 , is a Major General .",located in the administrative territorial entity
"Yousef Mangoush , born in <e1> Benghazi </e1> , Cyrenaica , <e2> Libya </e2> , in 1950 , is a Major General .",country
"Yousef Mangoush , born in Benghazi , <e1> Cyrenaica </e1> , <e2> Libya </e2> , in 1950 , is a Major General .",country
"He was named as the Chief of Staff of the Libyan Ground Forces on 2 January 2012 , Mangoush served in the <e2> Libyan </e2> army under the <e1> Gaddafi </e1> government and retired in 1999 at the rank of Colonel .",country of citizenship
"Mangoush joined the rebel forces in February 2011 during the <e1> Libyan </e1> conflict which toppled Muammar Gaddafi , Mangush was arrested in the oil town of Brega in April by Gaddafi 's forces and freed in late August following the fall of <e2> Tripoli </e2> .",contains administrative territorial entity
"Mangoush joined the rebel forces in February 2011 during the <e2> Libyan </e2> conflict which toppled Muammar Gaddafi , Mangush was arrested in the oil town of Brega in April by Gaddafi 's forces and freed in late August following the fall of <e1> Tripoli </e1> .",located in the administrative territorial entity
"Mangoush joined the rebel forces in February 2011 during the <e2> Libyan </e2> conflict which toppled Muammar Gaddafi , Mangush was arrested in the oil town of Brega in April by Gaddafi 's forces and freed in late August following the fall of <e1> Tripoli </e1> .",country
"Mangoush joined the rebel forces in February 2011 during the <e2> Libyan </e2> conflict which toppled Muammar Gaddafi , Mangush was arrested in the oil town of <e1> Brega </e1> in April by Gaddafi 's forces and freed in late August following the fall of Tripoli .",country
"The <e1> First Baptist Church of Tarrytown </e1> is located on South Broadway ( U.S. Route 9 ) in <e2> Tarrytown </e2> , New York , United States .",located in the administrative territorial entity
"The <e1> First Baptist Church of Tarrytown </e1> is located on South Broadway ( U.S. Route 9 ) in Tarrytown , New York , <e2> United States </e2> .",country
"The First Baptist Church of Tarrytown is located on <e1> South Broadway </e1> ( U.S. Route 9 ) in Tarrytown , New York , <e2> United States </e2> .",country
"The First Baptist Church of Tarrytown is located on South Broadway ( U.S. Route 9 ) in <e1> Tarrytown </e1> , New York , <e2> United States </e2> .",country
"The First Baptist Church of Tarrytown is located on South Broadway ( U.S. Route 9 ) in <e2> Tarrytown </e2> , <e1> New York </e1> , United States .",contains administrative territorial entity
"The First Baptist Church of Tarrytown is located on South Broadway ( U.S. Route 9 ) in Tarrytown , <e1> New York </e1> , <e2> United States </e2> .",country
"Larisons Corners is an unincorporated community located along the border of <e1> East Amwell </e1> and Raritan townships in <e2> Hunterdon County </e2> , New Jersey , United States .",located in the administrative territorial entity
"Larisons Corners is an unincorporated community located along the border of <e1> East Amwell </e1> and Raritan townships in Hunterdon County , New Jersey , <e2> United States </e2> .",country
"Larisons Corners is an unincorporated community located along the border of East Amwell and <e1> Raritan </e1> townships in <e2> Hunterdon County </e2> , New Jersey , United States .",located in the administrative territorial entity
"Larisons Corners is an unincorporated community located along the border of East Amwell and <e1> Raritan </e1> townships in Hunterdon County , <e2> New Jersey </e2> , United States .",located in the administrative territorial entity
"Larisons Corners is an unincorporated community located along the border of East Amwell and <e1> Raritan </e1> townships in Hunterdon County , New Jersey , <e2> United States </e2> .",country
"Larisons Corners is an unincorporated community located along the border of East Amwell and Raritan townships in <e1> Hunterdon County </e1> , <e2> New Jersey </e2> , United States .",located in the administrative territorial entity
"Larisons Corners is an unincorporated community located along the border of East Amwell and Raritan townships in <e1> Hunterdon County </e1> , New Jersey , <e2> United States </e2> .",country
"Larisons Corners is an unincorporated community located along the border of East Amwell and Raritan townships in <e2> Hunterdon County </e2> , <e1> New Jersey </e1> , United States .",contains administrative territorial entity
"Larisons Corners is an unincorporated community located along the border of East Amwell and Raritan townships in Hunterdon County , <e1> New Jersey </e1> , <e2> United States </e2> .",located in the administrative territorial entity
"Larisons Corners is an unincorporated community located along the border of East Amwell and Raritan townships in Hunterdon County , <e1> New Jersey </e1> , <e2> United States </e2> .",country
"Larisons Corners is an unincorporated community located along the border of East Amwell and Raritan townships in Hunterdon County , <e2> New Jersey </e2> , <e1> United States </e1> .",contains administrative territorial entity
"<e1> Larisons Corners </e1> is an unincorporated community located along the border of East Amwell and Raritan townships in Hunterdon County , <e2> New Jersey </e2> , United States .",located in the administrative territorial entity
"<e1> Larisons Corners </e1> is an unincorporated community located along the border of East Amwell and Raritan townships in Hunterdon County , New Jersey , <e2> United States </e2> .",country
"The Palace of Longoria ( Spanish : Palacio de Longoria ) is an Art Nouveau palace that the politician and financier <e1> Francisco Javier González Longoria </e1> ordered to be built in the district of Chueca , at the corner of Fernando VI and Pelayo streets , in the city of Madrid , <e2> Spain </e2> .",country of citizenship
"The Palace of Longoria ( <e2> Spanish </e2> : Palacio de Longoria ) is an Art Nouveau palace that the politician and financier <e1> Francisco Javier González Longoria </e1> ordered to be built in the district of Chueca , at the corner of Fernando VI and Pelayo streets , in the city of Madrid , Spain .","languages spoken, written or signed"
"The Palace of Longoria ( Spanish : Palacio de Longoria ) is an Art Nouveau palace that the politician and financier Francisco Javier González Longoria ordered to be built in the district of <e1> Chueca </e1> , at the corner of Fernando VI and Pelayo streets , in the city of Madrid , <e2> Spain </e2> .",country
"The Palace of Longoria ( Spanish : Palacio de Longoria ) is an Art Nouveau palace that the politician and financier Francisco Javier González Longoria ordered to be built in the district of Chueca , at the corner of Fernando VI and <e1> Pelayo </e1> streets , in the city of Madrid , <e2> Spain </e2> .",country
"The Palace of Longoria ( Spanish : <e1> Palacio de Longoria </e1> ) is an Art Nouveau palace that the politician and financier Francisco Javier González Longoria ordered to be built in the district of Chueca , at the corner of Fernando VI and Pelayo streets , in the city of Madrid , <e2> Spain </e2> .",country
"Together with the House of Gallardo ( Spanish : Casa Gallardo ) in the <e1> Plaza de España </e1> , it is <e2> Madrid </e2> 's most notable example of modernist architecture .",located in the administrative territorial entity
"Together with the House of Gallardo ( Spanish : <e1> Casa Gallardo </e1> ) in the Plaza de España , it is <e2> Madrid </e2> 's most notable example of modernist architecture .",located in the administrative territorial entity
Amanieu VIII ( sometimes <e1> VII </e1> ) ( died <e2> 1326 </e2> ) was the Lord of Albret from 1298 until his death ; the son of Amanieu VII .,date of death
Amanieu VIII ( sometimes <e1> VII </e1> ) ( died 1326 ) was the Lord of Albret from 1298 until his death ; the son of <e2> Amanieu VII </e2> .,father
Amanieu VIII ( sometimes <e2> VII </e2> ) ( died 1326 ) was the Lord of Albret from 1298 until his death ; the son of <e1> Amanieu VII </e1> .,child
He was an ally of the English and sat on the <e2> King 's Council </e2> during the reigns of Edward I and <e1> Edward II </e1> of England .,position held
He was an ally of the English and sat on the King 's Council during the reigns of Edward I and <e1> Edward II </e1> of <e2> England </e2> .,country of citizenship
He was an ally of the English and sat on the <e2> King 's Council </e2> during the reigns of <e1> Edward I </e1> and Edward II of England .,position held
He was an ally of the English and sat on the King 's Council during the reigns of <e1> Edward I </e1> and Edward II of <e2> England </e2> .,country of citizenship
Amanieu used the French occupation of Aquitaine during the war between Edward I and <e1> Philip IV </e1> of <e2> France </e2> from 1294 to 1303 to expand his own authority at the expense of the ducal administration .,country of citizenship
"The Aarhus Theatre ( Danish : <e1> Aarhus Teater </e1> ) in Aarhus , is the largest provincial theatre in <e2> Denmark </e2> .",country
"The Aarhus Theatre ( Danish : Aarhus Teater ) in <e1> Aarhus </e1> , is the largest provincial theatre in <e2> Denmark </e2> .",country
"A new building was designed by the Danish architect <e1> Hack Kampmann </e1> ( <e2> 1856 </e2> – 1920 ) , and the construction began on 12 August 1898 .",date of birth
"A new building was designed by the Danish architect <e1> Hack Kampmann </e1> ( 1856 – <e2> 1920 </e2> ) , and the construction began on 12 August 1898 .",date of death
"Only two years later , <e1> Aarhus Theatre </e1> stood completed and was inaugurated on <e2> 15 September 1900 </e2> .",inception
The album was released in <e2> November 2006 </e2> following the death of <e1> Steve Irwin </e1> and contains important environmental songs ; many of which inspirations to Irwin .,date of death
"A$ 1 from each sale was donated to the Wildlife Warriors conservation foundation , a charity founded by <e1> Steve </e1> and <e2> Terri Irwin </e2> .",spouse
"A$ 1 from each sale was donated to the Wildlife Warriors conservation foundation , a charity founded by <e2> Steve </e2> and <e1> Terri Irwin </e1> .",spouse
"A$ 1 from each sale was donated to the <e1> Wildlife Warriors conservation foundation </e1> , a charity founded by <e2> Steve </e2> and Terri Irwin .",founded by
"<e1> Jean - Michel Emmanuel Salanskis </e1> ( born <e2> April 5 , 1951 </e2> in Paris ) is a French philosopher and mathematician , professor of science and philosophy at the University of Paris X Nanterre .",date of birth
"<e1> Jean - Michel Emmanuel Salanskis </e1> ( born April 5 , 1951 in <e2> Paris </e2> ) is a French philosopher and mathematician , professor of science and philosophy at the University of Paris X Nanterre .",place of birth
"<e1> Jean - Michel Emmanuel Salanskis </e1> ( born April 5 , 1951 in Paris ) is a French philosopher and mathematician , professor of science and philosophy at the <e2> University of Paris X Nanterre </e2> .",employer
<e1> Brian Warsop </e1> ( <e2> 12 January 1904 </e2> – 18 March 1993 ) was an English cricketer .,date of birth
"He died in <e1> Melbourne </e1> , <e2> Australia </e2> on 18 March 1993 .",country
The <e1> Arikaree Breaks </e1> are badlands in northwest <e2> Kansas </e2> .,located in the administrative territorial entity
"The breaks extend from <e2> Rawlins County </e2> , <e1> Kansas </e1> westward across Cheyenne County , Kansas and into Yuma County , Colorado .",contains administrative territorial entity
"The breaks extend from Rawlins County , <e1> Kansas </e1> westward across <e2> Cheyenne County </e2> , Kansas and into Yuma County , Colorado .",contains administrative territorial entity
"The breaks extend from Rawlins County , Kansas westward across Cheyenne County , Kansas and into <e2> Yuma County </e2> , <e1> Colorado </e1> .",contains administrative territorial entity
"The breaks extend from <e1> Rawlins County </e1> , <e2> Kansas </e2> westward across Cheyenne County , Kansas and into Yuma County , Colorado .",located in the administrative territorial entity
"The breaks extend from Rawlins County , <e2> Kansas </e2> westward across <e1> Cheyenne County </e1> , Kansas and into Yuma County , Colorado .",located in the administrative territorial entity
"The breaks extend from Rawlins County , Kansas westward across Cheyenne County , Kansas and into <e1> Yuma County </e1> , <e2> Colorado </e2> .",located in the administrative territorial entity
"The name "" Federal Heights "" originates from the period between the Mormon settlers ' establishment of <e1> Salt Lake City </e1> in <e2> 1847 </e2> and Utah 's admittance to the United States as a state in 1896 .",inception
"The name "" Federal Heights "" originates from the period between the Mormon settlers ' establishment of <e1> Salt Lake City </e1> in 1847 and Utah 's admittance to <e2> the United States </e2> as a state in 1896 .",country
"The name "" Federal Heights "" originates from the period between the Mormon settlers ' establishment of Salt Lake City in 1847 and <e2> Utah </e2> 's admittance to <e1> the United States </e1> as a state in 1896 .",contains administrative territorial entity
"<e1> Ford Christopher Frick </e1> ( <e2> December 19 , 1894 </e2> – April 8 , 1978 ) was an American sportswriter and baseball executive .",date of birth
"<e1> Ford Christopher Frick </e1> ( December 19 , 1894 – <e2> April 8 , 1978 </e2> ) was an American sportswriter and baseball executive .",date of death
"<e1> Ford Christopher Frick </e1> ( December 19 , 1894 – April 8 , 1978 ) was an <e2> American </e2> sportswriter and baseball executive .",country of citizenship
"JPEG XR ( <e1> JPEG extended range </e1> ) is a still - image compression standard and file format for continuous tone photographic images , based on technology originally developed and patented by <e2> Microsoft </e2> under the name HD Photo ( formerly Windows Media Photo ) .",developer
"JPEG XR ( JPEG extended range ) is a still - image compression standard and file format for continuous tone photographic images , based on technology originally developed and patented by <e2> Microsoft </e2> under the name <e1> HD Photo </e1> ( formerly Windows Media Photo ) .",developer
"<e1> William Julius Mickle </e1> ( <e2> 29 September 1734 </e2> in Langholm , in Dumfrieshire   – 28 October 1788 in Forest Hill ) was a Scottish poet .",date of birth
"<e1> William Julius Mickle </e1> ( 29 September 1734 in <e2> Langholm </e2> , in Dumfrieshire   – 28 October 1788 in Forest Hill ) was a Scottish poet .",place of birth
"<e1> William Julius Mickle </e1> ( 29 September 1734 in Langholm , in Dumfrieshire   – <e2> 28 October 1788 </e2> in Forest Hill ) was a Scottish poet .",date of death
"<e1> William Julius Mickle </e1> ( 29 September 1734 in Langholm , in Dumfrieshire   – 28 October 1788 in Forest Hill ) was a <e2> Scottish </e2> poet .",country of citizenship
He moved to England where he worked as a corrector for the <e1> Clarendon Press </e1> at <e2> Oxford </e2> .,location of formation
He moved to <e2> England </e2> where he worked as a corrector for the Clarendon Press at <e1> Oxford </e1> .,country
"Mickle had various literary failures and minor successes until , while at Forest Hill , he produced his translation of the Lusiad , from the <e2> Portuguese </e2> of <e1> Luís de Camões </e1> .","languages spoken, written or signed"
"Mickle had various literary failures and minor successes until , while at Forest Hill , he produced his translation of the <e1> Lusiad </e1> , from the Portuguese of <e2> Luís de Camões </e2> .",author
"In 1784 he published the ballad of Cumnor Hall , which suggested to <e2> Scott </e2> the writing of <e1> Kenilworth </e1> .",author
"While the broadcasts were from different radio stations ( including those of Tanzania , Zambia , Angola , Ethiopia , and Madagascar ) , their station identifications all sported the trademark introduction familiar to many from the The <e2> KLF </e2> song "" <e1> 3 a.m. Eternal </e1> "" : machine - gun fire , followed by a variation of",performer
"This is Radio Freedom , the voice of the <e2> African National Congress </e2> and its military wing <e1> Umkhonto we Sizwe </e1> ...",parent organization
<e1> Carlos Sastre Candil </e1> (; born <e2> 22 April 1975 </e2> ) is a former Spanish professional road bicycle racer and winner of the 2008 Tour de France .,date of birth
<e1> Carlos Sastre Candil </e1> (; born 22 April 1975 ) is a former <e2> Spanish </e2> professional road bicycle racer and winner of the 2008 Tour de France .,country of citizenship
"<e1> Sastre </e1> established himself as a strong and stable climbing specialist , and after working to improve his individual time trial skills , he became a contender for the top GC spots in the <e2> Grand Tours </e2> .",participant of
"The result of the transfer of <e1> Togoland </e1> to Ghana has meant that many Togolese keep one foot on either side of the border , living in Ghana by night and working in the markets of the capital , <e2> Lomé </e2> , by day .",capital
"<e1> Lionsgate Films </e1> ( formerly known as Cinépix Film Properties ) is an American film production and film distribution studio , headquartered in <e2> Santa Monica </e2> and founded in French Canada , and is the flagship division of Lionsgate Entertainment .",headquarters location
"<e1> Lionsgate Films </e1> ( formerly known as Cinépix Film Properties ) is an American film production and film distribution studio , headquartered in Santa Monica and founded in French Canada , and is the flagship division of <e2> Lionsgate Entertainment </e2> .",parent organization
"<e1> Lionsgate Films </e1> ( formerly known as Cinépix Film Properties ) is an American film production and film distribution studio , headquartered in Santa Monica and founded in French Canada , and is the flagship division of <e2> Lionsgate Entertainment </e2> .",owned by
"It focuses on foreign and independent films and has distributed various commercially successful film series , including The Twilight Saga and Step Up ( both partially , via the firm 's 2012 acquisition of two franchise 's distributor Summit Entertainment ; the latter has distributed by <e1> Disney </e1> 's <e2> Touchstone Pictures </e2> since its first film ) , The Hunger Games , Rambo , Divergent , The Punisher ( prior to Marvel Studios acquiring its rights back in 2013 ) , John Wick , Saw , Hostel , The Expendables , Sinister , Madea , Blair Witch , and Now You See Me .",subsidiary
"It focuses on foreign and independent films and has distributed various commercially successful film series , including The Twilight Saga and Step Up ( both partially , via the firm 's 2012 acquisition of two franchise 's distributor Summit Entertainment ; the latter has distributed by <e2> Disney </e2> 's <e1> Touchstone Pictures </e1> since its first film ) , The Hunger Games , Rambo , Divergent , The Punisher ( prior to Marvel Studios acquiring its rights back in 2013 ) , John Wick , Saw , Hostel , The Expendables , Sinister , Madea , Blair Witch , and Now You See Me .",owned by
